assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
Kings House Ii,Kings House Ii,Jacksonville,Duval,30.2731,-81.7893,5,0,4,1250,7,0,0,7,0,0
La Colonia Ii Alf Inc,La Colonia Ii ALF,Cape Coral,Lee,26.6395,-81.9484,10,5,2,1250,11,0,0,11,0,0
Victoria'S Dedicated Retirement Home Ii Inc,Victoria'S Dedicated Retirement Home Ii,Miami,Miami-Dade,25.7277,-80.2451,14,1,2,1200,12,0,0,11,1,0
Medina'S Alf Corp,Medina'S ALF Corp,Miami,Miami-Dade,25.8381,-80.2512,6,0,2,1200,12,0,0,10,0,2
Alegria Alf Llc,Alegria ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,1200,7,0,0,7,0,0
Coral Villa Ii Corp,Coral Villa Ii Corp,,Miami-Dade,25.7401,-80.3022,6,0,1,1200,11,0,1,8,1,1
Trout River Assisted Living Facility,Trout River Assisted Living Facility,Jacksonville,Duval,30.4148,-81.697,6,0,4,1200,9,0,0,7,1,1
Azaleas Alf,Azaleas ALF,Zephyrhills,Pasco,28.2444,-82.1733,18,0,2,1200,10,0,0,10,0,0
Bosan Residence Corp,Bosan Residence Corp,Miami,Miami-Dade,25.7938,-80.3396,14,5,2,1150,14,0,3,10,1,0
A Touch Of Class Adult Care Llc,A Touch Of Class Adult Care,Port Saint Lucie,St. Lucie,27.333,-80.3583,10,0,1,1150,1,0,0,1,0,0
Ideal Home Care Inc,Ideal Home Care,Miami,Miami-Dade,25.7799,-80.2196,6,0,2,1125,9,0,0,9,0,0
Charisservice Llc,Charisservice,,Miami-Dade,25.7255,-80.3287,6,0,2,1125,13,0,1,11,0,1
Queen Elaine Assisted Living Facility Llc,Queen Elaine Assisted Living Facility,Casselberry,Seminole,28.667,-81.3101,6,0,3,1100,10,0,0,6,4,0
Ida'S Home Llc,Ida'S Home,Miami,Miami-Dade,25.6309,-80.4005,6,1,3,1050,17,0,0,16,0,1
View At Winter Park (The),View At Winter Park (The),Winter Park,Orange,28.6337,-81.2891,6,0,2,1050,6,0,0,6,0,0
Crest Manor,Crest Manor,Lake Worth,Palm Beach,26.6123,-80.0538,52,2,3,1025,10,0,0,9,1,0
Grand Villa Of Boynton Beach,Grand Villa Of Boynton Beach,Boynton Beach,Palm Beach,26.511,-80.0604,148,6,2,1000,9,0,0,9,0,0
Hibiscus Palace North Palm,Hibiscus Palace North Palm,North Palm Beach,Palm Beach,26.6328,-80.0669,14,0,3,1000,9,0,0,5,3,1
Brookdale Palm Beach Gardens,Brookdale Palm Beach Gardens,Palm Bch Gdns,Palm Beach,26.8423,-80.0752,155,1,1,1000,4,0,0,3,0,1
Lake Park Alf,Lake Park ALF,Lake Park,Palm Beach,26.8141,-80.0801,6,0,2,1000,8,0,0,8,0,0
Advent Square,Advent Square,Boca Raton,Palm Beach,26.3917,-80.0802,16,1,2,1000,12,0,0,12,0,0
Emmanuel Care Assisted Living Facility Ii,Emmanuel Care Assisted Living Facility Ii,Palm Beach Gardens,Palm Beach,26.8196,-80.0919,6,0,1,1000,5,0,0,4,1,0
Banyan Place,Banyan Place,Boca Raton,Palm Beach,26.3782,-80.0936,125,2,1,1000,10,0,0,10,0,0
Sunrise Adult Care Inc,Sunrise Adult Care,Lake Worth,Palm Beach,26.6165,-80.1077,6,0,2,1000,8,0,0,6,0,2
Symphony At Delray Beach,Symphony At Delray Beach,Delray Beach,Palm Beach,26.4563,-80.1199,146,4,1,1000,12,0,0,12,0,0
Coral Sand Inc,Coral Sand,,Miami-Dade,25.8633,-80.1233,30,2,3,1000,20,0,7,12,1,0
Annie'S Retirement Home Inc,Annie'S Retirement Home,Fort Lauderdale,Broward,26.2035,-80.1242,9,2,2,1000,5,0,0,2,2,1
Independence Hall,Independence Hall,Wilton Manors,Broward,26.1605,-80.1255,125,0,1,1000,4,0,0,4,0,0
"John Knox Village Of Florida, Inc.",John Knox Village Of Florida.,Pompano Beach,Broward,26.2262,-80.1304,64,1,2,1000,3,0,0,2,1,0
Villa Rio Vista,Villa Rio Vista,Fort Lauderdale,Broward,26.109,-80.1364,50,2,2,1000,11,0,0,9,2,0
Lincoln Manor,Lincoln Manor,Hollywood,Broward,26.0175,-80.1511,56,2,2,1000,13,0,0,10,3,0
"Apollo Gardens Retirement Residence Care, Inc.",Apollo Gardens Retirement Residence Care.,Hollywood,Broward,26.0181,-80.162,57,3,3,1000,9,0,0,6,2,1
A Quaint Meadow,A Quaint Meadow,Lake Worth,Palm Beach,26.6156,-80.1647,6,0,1,1000,4,0,0,4,0,0
The Preserve At Palm Aire,The Preserve At Palm Aire,Pompano Beach,Broward,26.2108,-80.1734,166,3,2,1000,9,0,0,5,2,2
Harborchase Of Wellington Crossing,Harborchase Of Wellington Crossing,Wellington,Palm Beach,26.618,-80.1844,156,8,1,1000,9,0,0,7,0,2
"Bryan Family Home, Inc",Bryan Family Home,Miami,Miami-Dade,25.8127,-80.1889,6,0,3,1000,15,0,0,13,2,0
Mariposa,Mariposa,Lake Worth,Palm Beach,26.5664,-80.1922,191,0,1,1000,5,0,0,2,0,3
"St Joseph Residence, Inc.",St Joseph Residence.,Lauderdale Lakes,Broward,26.1638,-80.1934,90,0,1,1000,5,0,0,4,0,1
"Gold Coast Loving Care, Inc.",Gold Coast Loving Care.,Hollywood,Broward,26.0199,-80.1995,6,0,3,1000,6,0,0,1,3,2
"Lindsay'S Alternative Care, Inc.",Lindsay'S Alternative Care.,Coral Springs,Broward,26.2838,-80.2113,6,1,2,1000,9,0,0,7,2,0
Cassie'S Castle Ii,Cassie'S Castle Ii,,Palm Beach,26.7099,-80.2189,6,1,2,1000,17,0,0,13,4,0
Good Stand Home Care Inc,Good Stand Home Care,Miami,Miami-Dade,25.7799,-80.2196,14,1,2,1000,20,0,0,19,0,1
Oasis At Margate Assisted Living Llc,Oasis At Margate Assisted Living,Margate,Broward,26.2365,-80.2201,64,0,2,1000,6,0,0,4,0,2
Colonial Assisted Living At Fort Lauderdale,Colonial Assisted Living At Fort Lauderdale,,Broward,26.1629,-80.2238,98,7,2,1000,5,0,0,3,2,0
Victoria Villa Inc,Victoria Villa,Davie,Broward,26.0565,-80.2288,44,2,1,1000,28,0,0,22,5,1
"Nesly Home Care,Llc",Nesly Home CareLlc,Miami,Miami-Dade,25.7885,-80.2296,6,0,1,1000,9,0,1,8,0,0
Vicky'S Home Alf,Vicky'S Home ALF,Miami,Miami-Dade,25.8466,-80.2394,12,4,1,1000,20,0,0,19,1,0
"Amore At Kanner Highway, Llc",Amore At Kanner Highway,Stuart,Martin,27.1832,-80.2546,38,0,2,1000,11,0,0,9,2,0
Two Sisters Eternity Care Llc,Two Sisters Eternity Care,Miami,Miami-Dade,25.7521,-80.256,6,0,1,1000,9,0,1,7,1,0
"Alf Sweet Home, Llc",ALF Sweet Home,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,1000,11,0,0,10,1,0
"Melanie'S Alf, Inc",Melanie'S ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,1000,1,0,1,0,0,0
Moonshine Alf Llc,Moonshine ALF,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,1000,4,0,0,3,1,0
Absolute Care Residence,Absolute Care Residence,Sunrise,Broward,26.1706,-80.2711,14,0,2,1000,25,0,0,22,2,1
Two Sister'S Home Care Ii Corp.,Two Sister'S Home Care Ii Corp.,Hialeah Gdns,Miami-Dade,25.8169,-80.2722,6,0,2,1000,2,0,1,1,0,0
Afh Senior Care Coral Springs,Afh Senior Care Coral Springs,Coral Springs,Broward,26.2701,-80.2854,6,0,2,1000,13,0,0,10,0,3
Adam Home # 2 Inc.,Adam Home # 2.,Hialeah,Miami-Dade,25.8311,-80.2854,12,0,1,1000,5,0,1,4,0,0
"Harbor Place At Port St Lucie, The",Harbor Place At Port St Lucie The,Port St Lucie,St. Lucie,27.2802,-80.2897,128,1,2,1000,9,0,0,8,1,0
"El Renacer De Ana, Inc",El Renacer De Ana,Miami,Miami-Dade,25.7777,-80.2922,6,1,3,1000,6,0,0,6,0,0
Rosie'S House Alf,Rosie'S House ALF,Port Saint Lucie,St. Lucie,27.2968,-80.2928,5,0,2,1000,6,0,0,4,2,0
Maud'S Place,Maud'S Place,Miami,Miami-Dade,25.6934,-80.3013,6,0,1,1000,17,0,0,17,0,0
"Buena Vista Health Care Ii, Corp.",Buena Vista Health Care Ii Corp.,Hialeah,Miami-Dade,25.8949,-80.3131,6,0,1,1000,10,0,1,7,0,2
Majestic Senior Care Alf,Majestic Senior Care ALF,Miami,Miami-Dade,25.8218,-80.3324,6,0,1,1000,19,0,1,17,1,0
My Dream Alf Llc,My Dream ALF,Miami,Miami-Dade,25.7329,-80.3325,5,0,2,1000,16,0,0,15,1,0
Sun Bay Manor Ii,Sun Bay Manor Ii,Miami,Miami-Dade,25.6324,-80.3364,6,0,2,1000,3,0,0,3,0,0
"Academy Assisted Living Facility, Inc",Academy Assisted Living Facility,Fort Pierce,St. Lucie,27.435,-80.3461,20,1,3,1000,2,0,0,1,1,0
Casabel Home Care Llc,Casabel Home Care,,Miami-Dade,25.7459,-80.3785,6,0,1,1000,14,0,1,13,0,0
Duran Home Care Corp.,Duran Home Care Corp.,Homestead,Miami-Dade,25.5185,-80.4001,6,1,1,1000,11,0,0,10,0,1
"We ""R"" Family Usa Corp","We ""R"" Family Usa Corp",Miami,Miami-Dade,25.7467,-80.409,6,0,3,1000,8,0,0,8,0,0
Sol Assisted Living Facility Inc,Sol Assisted Living Facility,Miami,Miami-Dade,25.7451,-80.4176,6,1,2,1000,10,0,0,10,0,0
Nspire Healthcare Kendall,Nspire Healthcare Kendall,Miami,Miami-Dade,25.6792,-80.4178,54,0,2,1000,32,0,0,29,1,2
Chateau Madeleine,Chateau Madeleine,,Brevard,28.2191,-80.6738,115,1,1,1000,17,0,0,16,1,0
House Of Light Senior Living Ii,House Of Light Senior Living Ii,Palm Bay,Brevard,27.9872,-80.6762,6,0,2,1000,13,0,0,10,2,1
Space Coast Assisted Living Llc,Space Coast Assisted Living,Titusville,Brevard,28.5436,-80.8093,8,0,3,1000,6,0,0,6,0,0
Lexington Place Assisted Living Facility,Lexington Place Assisted Living Facility,New Smyrna Beach,Volusia,29.0204,-80.9287,115,0,2,1000,1,0,0,1,0,0
"Crown Assisted Living, Llc",Crown Assisted Living,New Smyrna Beach,Volusia,29.0236,-80.935,16,0,3,1000,9,0,0,7,2,0
Fairgreen Assisted Living,Fairgreen Assisted Living,New Smyrna Beach,Volusia,29.0283,-80.945,40,3,2,1000,10,0,0,9,0,1
Benton House Of Port Orange,Benton House Of Port Orange,Port Orange,Volusia,29.064,-81.0438,80,0,1,1000,3,0,1,2,0,0
Riviera Assisted Living Residences,Riviera Assisted Living Residences,Holly Hill,Volusia,29.2618,-81.0488,80,3,2,1000,12,0,0,11,0,1
Indigo Palms At The Manor,Indigo Palms At The Manor,Daytona Beach,Volusia,29.2074,-81.0631,50,0,2,1000,13,0,0,10,0,3
Brookdale Deland,Brookdale Deland,Deland,Volusia,29.0505,-81.3173,89,0,3,1000,4,0,0,4,0,0
Rita De Acacias Alf Corp,Rita De Acacias ALF Corp,Orlando,Orange,28.5376,-81.3203,6,0,1,1000,2,0,0,2,0,0
Westminster Towers,Westminster Towers,Orlando,Orange,28.5334,-81.3793,60,0,3,1000,20,0,0,16,3,1
"Summer Time Alf, Inc.",Summer Time ALF.,Winter Park,Orange,28.6069,-81.3853,95,4,2,1000,17,0,0,16,1,0
Aasbury Manor Alf,Aasbury Manor ALF,Orlando,Orange,28.608,-81.4093,14,2,2,1000,29,0,0,25,4,0
Palms Of Sebring (The),Palms Of Sebring (The),Sebring,Highlands,27.4924,-81.4411,141,3,3,1000,17,0,0,16,0,1
Victorian Floral Gardens Llc,Victorian Floral Gardens,Kissimmee,Osceola,28.1147,-81.4502,7,0,2,1000,12,0,0,8,0,4
Brookdale Winter Haven,Brookdale Winter Haven,Winter Haven,Polk,27.9844,-81.6863,40,3,2,1000,5,0,0,4,0,1
"Canterfield Of Fort Myers, Llc",Canterfield Of Fort Myers,,Lee,26.4684,-81.8325,130,4,1,1000,3,0,0,3,0,0
Sumter Place In The Villages,Sumter Place In The Villages,The Villages,Sumter,28.9165,-81.92,168,7,2,1000,8,0,0,8,0,0
Venice Green Village,Venice Green Village,Venice,Sarasota,27.0981,-82.3737,50,3,1,1000,9,0,0,8,1,0
Harborchase Of Gainesville,Harborchase Of Gainesville,Gainesville,Alachua,29.6666,-82.4337,79,3,2,1000,17,0,0,17,0,0
Paddock Cove At Venice,Paddock Cove At Venice,Venice,Sarasota,27.0939,-82.4406,108,2,2,1000,12,0,0,11,1,0
Tuscan Gardens Of Venetia Bay,Tuscan Gardens Of Venetia Bay,Venice,Sarasota,27.1102,-82.4432,175,1,3,1000,4,0,0,4,0,0
Gail'S Alf,Gail'S ALF,Tampa,Hillsborough,27.9886,-82.4523,10,1,2,1000,11,0,0,7,1,3
Feel At Home Inc,Feel At Home,Tampa,Hillsborough,28.0661,-82.4611,16,0,2,1000,3,0,0,3,0,0
De Las Mercedes Alf Corp,De Las Mercedes ALF Corp,Tampa,Hillsborough,28.0135,-82.4735,6,0,1,1000,4,0,0,2,2,0
Brisiana Manor Alf,Brisiana Manor ALF,Sarasota,Sarasota,27.3372,-82.4836,12,2,3,1000,8,0,0,7,0,1
Amira Choice Sarasota,Amira Choice Sarasota,Sarasota,Sarasota,27.3877,-82.4861,140,4,1,1000,4,0,0,4,0,0
Sodalis Tampa,Sodalis Tampa,Tampa,Hillsborough,28.0876,-82.4905,133,6,4,1000,7,0,0,7,0,0
"Saint Joseph Assisted Living Facility, Inc",Saint Joseph Assisted Living Facility,Tampa,Hillsborough,27.9801,-82.4923,6,1,1,1000,6,0,0,4,2,0
Silver Lake Alf Inc,Silver Lake ALF,Tampa,Hillsborough,28.0217,-82.4939,6,1,1,1000,2,0,0,1,1,0
Gardens Of Time Llc,Gardens Of Time,Tampa,Hillsborough,27.9873,-82.4958,8,1,1,1000,3,0,0,2,1,0
Mi Bello Hogar Living Facility,Mi Bello Hogar Living Facility,Tampa,Hillsborough,27.9918,-82.4996,6,1,2,1000,13,0,0,12,1,0
Tampa Gardens Senior Living,Tampa Gardens Senior Living,Tampa,Hillsborough,28.1095,-82.5038,125,2,4,1000,22,0,0,22,0,0
Howard Home Care Alf Inc,Howard Home Care ALF,Tampa,Hillsborough,28.0047,-82.5148,8,0,1,1000,17,0,1,16,0,0
Gocio Home,Gocio Home,Sarasota,Sarasota,27.3343,-82.525,6,0,2,1000,5,0,0,3,1,1
Faithful Friends Inc,Faithful Friends,Bradenton,Manatee,27.4546,-82.5409,10,3,1,1000,20,0,0,18,2,0
Sugarmill Manor,Sugarmill Manor,Homosassa,Citrus,28.7315,-82.5514,60,1,1,1000,6,0,1,5,0,0
Discovery Village At Westchase,Discovery Village At Westchase,Tampa,Hillsborough,28.0626,-82.627,140,1,2,1000,8,0,0,8,0,0
Oak Haven Alf,Oak Haven ALF,New Port Richey,Pasco,28.3182,-82.6648,10,1,1,1000,10,0,0,7,3,0
Sun Coast Retreat,Sun Coast Retreat,New Port Richey,Pasco,28.2605,-82.6796,84,4,2,1000,25,0,0,24,0,1
"House Of Bostics, Llc (The)",House Of Bostics (The),Saint Petersburg,Pinellas,27.8199,-82.6822,16,2,4,1000,4,0,0,4,0,0
Magnolia Gardens Assisted Living,Magnolia Gardens Assisted Living,Pinellas Park,Pinellas,27.8276,-82.6859,110,2,1,1000,14,0,0,13,0,1
Wickshire Countryside,Wickshire Countryside,Clearwater,Pinellas,28.0355,-82.7064,119,6,2,1000,5,0,0,5,0,0
Emerald Garden Inc,Emerald Garden,Clearwater,Pinellas,27.9994,-82.7096,20,0,2,1000,21,0,0,19,1,1
"Arlington Garden, Llc",Arlington Garden,Pinellas Park,Pinellas,27.8401,-82.7174,71,9,1,1000,15,0,0,14,1,0
Plantation Retirement Inc,Plantation Retirement,Holiday,Pasco,28.1981,-82.7221,10,1,3,1000,8,0,0,5,1,2
Lantern Senior Care,Lantern Senior Care,Clearwater,Pinellas,27.9425,-82.7366,12,1,1,1000,14,0,0,11,3,0
Pembrook Place Ii Alf,Pembrook Place Ii ALF,Clearwater,Pinellas,27.9375,-82.7528,12,0,3,1000,8,0,0,6,0,2
"Bayou Gardens Dunedin, Llc",Bayou Gardens Dunedin,Dunedin,Pinellas,28.049,-82.7665,50,2,1,1000,5,0,0,5,0,0
Midway Manor Alf,Midway Manor ALF,Clearwater,Pinellas,27.9329,-82.7885,50,9,1,1000,16,0,0,14,2,0
Arden Courts (Seminole),Arden Courts (Seminole),Seminole,Pinellas,27.8575,-82.829,56,1,6,1000,10,0,0,7,0,3
Rivertown Assisted Living Llc,Rivertown Assisted Living,Blountstown,Calhoun,30.4368,-85.0583,28,2,1,1000,2,0,1,1,0,0
Brookdale Fort Walton Beach,Brookdale Fort Walton Beach,Fort Walton Beach,Okaloosa,30.4428,-86.6456,56,2,2,1000,2,0,0,2,0,0
Bay Breeze Senior Living And Rehabilitation Center,Bay Breeze Senior Living And Rehabilitation Center,Gulf Breeze,Santa Rosa,30.3861,-87.0825,60,1,4,1000,0,0,0,0,0,0
Harborchase Of Palm Beach Gardens,Harborchase Of Palm Beach Gardens,Palm Beach Gardens,Palm Beach,26.861,-80.1115,160,4,3,900,22,0,0,22,0,0
Living Care Facility Inc,Living Care Facility,Miami,Miami-Dade,25.788,-80.1407,6,1,2,900,13,0,0,12,1,0
"Stellar Alf Ii, Llc",Stellar ALF Ii,Miami,Miami-Dade,25.7686,-80.2641,6,0,2,900,15,0,0,14,1,0
Carolina'S Care Center Corp #Iii,Carolina'S Care Center Corp #Iii,,Miami-Dade,25.923,-80.3279,6,0,1,900,12,0,0,11,1,0
Oakmonte Village Of Lake Mary - Cordova,Oakmonte Village Of Lake Mary - Cordova,Lake Mary,Seminole,28.7482,-81.3683,153,3,2,900,26,0,1,17,7,1
Angels Senior Living At Sarasota,Angels Senior Living At Sarasota,Sarasota,Sarasota,27.2704,-82.4651,110,6,1,900,7,0,0,6,0,1
Inspired Living At Tampa,Inspired Living At Tampa,Tampa,Hillsborough,27.9953,-82.566,68,4,3,900,4,0,0,3,1,0
The Horizon Club,The Horizon Club,Deerfield Beach,Broward,26.3007,-80.1292,68,1,4,850,1,0,0,1,0,0
Spring Haven Senior Living,Spring Haven Senior Living,Winter Haven,Polk,28.0458,-81.7412,120,10,3,850,16,0,0,16,0,0
Windsor Court,Windsor Court,West Palm Beach,Palm Beach,26.746,-80.0522,92,5,3,825,9,0,0,5,4,0
Havencrest On The Lake,Havencrest On The Lake,Boca Raton,Palm Beach,26.358,-80.1125,6,0,1,800,12,0,0,9,3,0
The Residence At Dania Beach,The Residence At Dania Beach,Dania Beach,Broward,26.0491,-80.1456,200,24,1,800,28,0,2,25,1,0
Sunset Loving Care Inc,Sunset Loving Care,Miami,Miami-Dade,25.7773,-80.2065,6,0,1,800,4,0,1,3,0,0
Flamingo Alf,Flamingo ALF,Plantation,Broward,26.1212,-80.2137,6,0,1,800,10,0,0,6,3,1
Los Jazmines Alf Llc,Los Jazmines ALF,Miami,Miami-Dade,25.8185,-80.243,6,0,1,800,4,0,1,3,0,0
Amethyst Care Inc,Amethyst Care,Sunrise,Broward,26.1537,-80.2555,6,1,1,800,7,0,0,4,0,3
Holy Family Group Home Alf Inc,Holy Family Group Home ALF,Miami,Miami-Dade,25.7686,-80.2641,6,1,3,800,8,0,1,7,0,0
"A Sweet Alf, Inc.",A Sweet ALF.,Hialeah,Miami-Dade,25.8744,-80.2696,6,0,1,800,17,0,2,13,0,2
"Golden Age Alf V, Llc",Golden Age ALF V,Hialeah,Miami-Dade,25.7741,-80.2931,6,0,1,800,10,0,0,9,0,1
Isa Home Corp,Isa Home Corp,Miami,Miami-Dade,25.7938,-80.3396,6,0,2,800,3,0,0,3,0,0
Madelin Home Care Corp,Madelin Home Care Corp,Miami,Miami-Dade,25.7419,-80.3623,6,0,1,800,5,0,0,5,0,0
Vitality Resort Alf Llc,Vitality Resort ALF,Port Saint Lucie,St. Lucie,27.2374,-80.3861,6,0,1,800,5,0,0,3,2,0
Hawthorne Inn Of Lakeland,Hawthorne Inn Of Lakeland,Lakeland,Polk,27.9541,-81.9227,68,5,3,800,8,0,0,8,0,0
Your House Alf 2,Your House ALF 2,Tampa,Hillsborough,27.9911,-82.4418,6,0,1,800,3,0,0,3,0,0
Carolina'S Care Center Corp,Carolina'S Care Center Corp,,Miami-Dade,25.923,-80.3279,8,0,2,775,8,0,0,8,0,0
"Memory Lane Cottage At Tampa Palms, Llc",Memory Lane Cottage At Tampa Palms,Tampa,Hillsborough,28.1101,-82.3883,20,0,1,775,12,0,0,10,2,0
Golden Sunset,Golden Sunset,New Port Richey,Pasco,28.2423,-82.7024,8,0,1,775,5,0,0,4,0,1
Angel Care Alf Inc,Angel Care ALF,Pompano Beach,Broward,26.2549,-80.0936,6,0,1,750,4,0,0,3,1,0
Suarez Resident Inc.,Suarez Resident.,Miami,Miami-Dade,25.7407,-80.2129,6,0,1,750,20,0,1,16,3,0
The Bridge At Inverrary,The Bridge At Inverrary,Lauderhill,Broward,26.1774,-80.2215,120,2,2,750,11,0,0,8,2,1
Alf Lucia Llc,ALF Lucia,Miami,Miami-Dade,25.7686,-80.2641,6,0,1,750,17,0,0,15,0,2
"Spring Manor Assisted Living, Inc.",Spring Manor Assisted Living.,Coral Springs,Broward,26.2531,-80.2761,6,0,2,750,4,0,0,4,0,0
Our Dream Alf,Our Dream ALF,Hialeah,Miami-Dade,25.8366,-80.2822,42,0,4,750,17,0,0,16,1,0
Tuscany Villa,Tuscany Villa,Rockledge,Brevard,28.3032,-80.7364,6,1,2,750,8,0,0,5,2,1
Bella Senior Living,Bella Senior Living,Daytona Beach,Volusia,29.1968,-81.0636,6,1,2,750,6,0,0,4,0,2
Starlight Alf At Deland,Starlight ALF At Deland,Deland,Volusia,28.9966,-81.2707,9,0,3,750,12,0,0,11,1,0
Somerset,Somerset,Tavares,Lake,28.8178,-81.7025,60,1,3,750,4,0,0,4,0,0
Bayshore Memory Care,Bayshore Memory Care,Naples,Collier,26.2715,-81.787,73,0,1,750,0,0,0,0,0,0
Heidis Haven,Heidis Haven,Leesburg,Lake,28.9178,-81.8868,6,1,2,750,6,0,0,6,0,0
Prestige Manor,Prestige Manor,Belleview,Marion,29.0614,-82.0461,34,2,1,750,4,0,0,4,0,0
Islands Alf (The),Islands ALF (The),Orlando,Orange,28.5546,-81.4754,18,1,1,700,17,0,0,14,3,0
Hibiscus Palace Ii Assisted Living Facility Llc,Hibiscus Palace Ii Assisted Living Facility,Wellington,Palm Beach,26.6328,-80.0669,6,0,2,625,11,0,0,9,2,0
Adela'S Gardens Alf Inc,Adela'S Gardens ALF,Miami,Miami-Dade,25.8083,-80.2588,6,0,2,625,0,0,0,0,0,0
"Home Away Alf, Llc",Home Away ALF,Miami,Miami-Dade,25.7686,-80.2641,6,2,1,600,6,0,1,4,0,1
Residential Plaza At Blue Lagoon,Residential Plaza At Blue Lagoon,Miami,Miami-Dade,25.7785,-80.2871,350,15,2,600,15,0,1,14,0,0
"Bishop Christian Home, Inc",Bishop Christian Home,Jacksonville,Duval,30.3455,-81.6331,44,3,2,600,5,0,0,4,1,0
Inspired Living At Lakewood Ranch,Inspired Living At Lakewood Ranch,Bradenton,Manatee,27.4443,-82.4572,140,20,4,600,9,0,0,9,0,0
Palms Villa,Palms Villa,Oakland Park,Broward,26.1618,-80.1719,21,1,1,562.5,9,0,0,8,1,0
Banyan Place-Lantana,Banyan Place-Lantana,Lantana,Palm Beach,26.5938,-80.0683,39,3,2,550,8,0,0,7,1,0
Aurora Of The Treasure Coast,Aurora Of The Treasure Coast,Fort Pierce,St. Lucie,27.5538,-80.3705,16,0,2,550,7,0,0,6,1,0
The Gardens Of Lake Alfred,The Gardens Of Lake ALFred,Lake Alfred,Polk,28.0943,-81.7277,100,4,2,550,6,0,0,6,0,0
The Meadows Of Sarasota Senior Living,The Meadows Of Sarasota Senior Living,Sarasota,Sarasota,27.3537,-82.5343,75,3,2,550,10,0,0,9,1,0
Lourdes Pavilion,Lourdes Pavilion,West Palm Beach,Palm Beach,26.7111,-80.0502,80,0,2,500,7,0,0,3,3,1
Artis Senior Living Of Boca Raton Llc,Artis Senior Living Of Boca Raton,Boca Raton,Palm Beach,26.4024,-80.0757,64,0,1,500,5,0,0,4,0,1
Brookdale Tequesta,Brookdale Tequesta,Tequesta,Palm Beach,26.9665,-80.0897,55,2,1,500,2,0,0,2,0,0
"Blue Ribbon Care Assisted Living Facility, Llc",Blue Ribbon Care Assisted Living Facility,Palm Springs,Palm Beach,26.6366,-80.09,6,1,2,500,9,0,0,8,1,0
The Meridian At Lantana,The Meridian At Lantana,Lantana,Palm Beach,26.5831,-80.0907,104,0,1,500,10,0,0,6,1,3
Beachside Living Llc,Beachside Living,Pompano Beach,Broward,26.2389,-80.0912,15,1,2,500,6,0,0,6,0,0
Emmanuel Care Assisted Living Facility,Emmanuel Care Assisted Living Facility,Palm Beach Gardens,Palm Beach,26.8196,-80.0919,6,0,1,500,9,0,0,7,1,1
"A Bella Vita Place Assisted Living, Llc",A Bella Vita Place Assisted Living,Delray Beach,Palm Beach,26.4701,-80.0964,10,0,1,500,13,0,0,9,3,1
Home Suite Home,Home Suite Home,Palm Beach Gardens,Palm Beach,26.813,-80.0987,6,0,1,500,8,0,0,6,1,1
The Meridian At Waterways,The Meridian At Waterways,Fort Lauderdale,Broward,26.168,-80.1049,130,1,1,500,14,0,0,12,2,0
Peregon Llc,Peregon,Miami,Miami-Dade,25.832,-80.1203,6,0,1,500,8,0,0,6,1,1
Windsor Place Retirement Home,Windsor Place Retirement Home,Wilton Manors,Broward,26.1594,-80.1222,80,1,1,500,5,0,0,4,1,0
"Villa Maria Isabel, Inc",Villa Maria Isabel,Miami,Miami-Dade,25.8047,-80.1257,6,0,1,500,2,0,0,0,2,0
Atria Park Of St Joseph'S,Atria Park Of St Joseph'S,Jupiter,Palm Beach,26.9311,-80.1297,115,2,1,500,8,0,0,7,1,0
Chatsworth At Pga National,Chatsworth At Pga National,,Palm Beach,26.8102,-80.1355,48,0,1,500,3,0,0,3,0,0
Courtyard Gardens Of Jupiter,Courtyard Gardens Of Jupiter,Jupiter,Palm Beach,26.9186,-80.136,129,3,1,500,8,0,0,5,1,2
Discovery Village At Palm Beach Gardens,Discovery Village At Palm Beach Gardens,Palm Beach Gardens,Palm Beach,26.8054,-80.139,138,1,1,500,8,0,0,7,1,0
Brookdale West Palm Beach,Brookdale West Palm Beach,West Palm Beach,Palm Beach,26.705,-80.1404,76,0,2,500,7,0,0,7,0,0
Galloway Adult Care Inc,Galloway Adult Care,Miami,Miami-Dade,25.788,-80.1407,6,1,1,500,4,0,0,3,1,0
Bella Luna Retirement Home Ii Inc,Bella Luna Retirement Home Ii,Miami,Miami-Dade,25.9567,-80.1432,6,0,1,500,18,0,1,15,2,0
"Hollywood Manor Assisted Living, Inc.",Hollywood Manor Assisted Living.,Hollywood,Broward,26.0038,-80.1458,9,2,2,500,6,0,0,6,0,0
Brookdale West Boynton Beach,Brookdale West Boynton Beach,Boynton Beach,Palm Beach,26.5527,-80.1486,167,2,2,500,16,0,0,14,1,1
"Christallis Manor, Llc",Christallis Manor,,Broward,26.0273,-80.1506,6,1,1,500,3,0,0,3,0,0
"Keval Exquisite Care, Llc",Keval Exquisite Care,Coral Springs,Broward,26.3175,-80.1536,6,0,1,500,5,0,0,2,2,1
